"","gene_name","x","x.name","y","y.name","comparison","hit_annotation"
"91","IGF2BP2",-0.382818322008006,"single_ko_vs_wt",0.320768966367694,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"92","DECR2",-0.634392880628504,"single_ko_vs_wt",0.203773969325873,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"93","PTRF",0.41655946944903,"single_ko_vs_wt",-0.342525474939482,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"94","NQO2",-0.341446924623213,"single_ko_vs_wt",0.0263050899798394,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"95","DLAT",-0.364280376716106,"single_ko_vs_wt",0.0466797810036361,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"96","THNSL1",-0.34996812156227,"single_ko_vs_wt",0.235377206005332,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"97","HGS",-0.404423829846507,"single_ko_vs_wt",-0.102859473163221,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"98","NSRP1",0.365659239579827,"single_ko_vs_wt",-0.388612346748772,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","candidate"
"99","ALKBH8",-0.337610819941471,"single_ko_vs_wt",0.0740599350466127,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"100","C9ORF64",-0.371800705152161,"single_ko_vs_wt",0.0619847749164499,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"101","MPG",-0.416327232438832,"single_ko_vs_wt",0.164031193322284,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"102","TNRC6A",-0.493148944692301,"single_ko_vs_wt",0.00477103962038683,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"103","FSD1",0.334950686163495,"single_ko_vs_wt",0.0899101093632133,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"104","PDPK1",-0.322870722167554,"single_ko_vs_wt",-0.246874684670317,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"105","ERCC4",-0.374227350698842,"single_ko_vs_wt",-0.0699701578674912,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"106","MAP1B",-0.394030975290192,"single_ko_vs_wt",-0.378085963942397,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"107","CLK1",0.353066849919873,"single_ko_vs_wt",0.163132051316435,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"108","NIT2",-0.417854198155727,"single_ko_vs_wt",0.113651813275901,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"109","SIVA1",0.370180259919866,"single_ko_vs_wt",0.237996436810146,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"110","PARN",-0.360970140084344,"single_ko_vs_wt",-0.0688705245833532,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"111","EARS2",-0.42395094431933,"single_ko_vs_wt",0.0822959150634226,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"112","RDX",-0.398238380619745,"single_ko_vs_wt",-0.0194954303906094,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"113","NUP210",-0.369896446890401,"single_ko_vs_wt",-0.588396878326456,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"114","PDXDC1",-0.35883503486194,"single_ko_vs_wt",0.0850960799026765,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
"115","SNRNP48",0.325584768084596,"single_ko_vs_wt",0.140414715054948,"double_ko_vs_wt","double_ko_vs_wt_against_single_ko_vs_wt","no hit"
